SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0004316,Mindijup/TT Sand,Mindijup / TT Sand,Mine,Openpit,Operating,J01658,Mindijup / TT Sand,118.076785999999998,-34.768864999999998,598536,6152060,50,Sisd,Industrial mineral,SILICA - SILICA SAND,Mindijup,Y,Sisd,Y,,Operating Mine,Public,2528,MANYPEAKS,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20230306
S0004356,Ben Hur Central,Ben Hur Central,Mine,Openpit,Under Development,J05856,Ben Hur,122.367203000000003,-28.167249999999999,437877,6884108,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3341,MOUNT VARDEN,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Burtville Terrane,20230306
S0004462,Cobra,Cobra - Marda,Mine,Unspecified,Operating,J02854,Marda / Southern Cross,119.247803000000005,-30.193420000000000,716401,6657646,50,Au Ag,Precious metal,GOLD,Cobra,N,,Y,,Operating Mine,Public,2737,JACKSON,SH50-12,JACKSON,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20230306
S0004477,Ellendale 9 East,Ellendale 9 East (Central),Mine,Openpit,Under Development,J00770,Ellendale,124.859080000000006,-17.563820000000000,697314,8057104,51,Dmd,Precious mineral,DIAMOND,,N,,,,,Public,3862,ELLENDALE,SE51-08,LENNARD RIVER,"DERBY/WEST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Lennard Shelf,20230306
S0004494,Halls Creek North/Guerinoni,Halls Creek North / Guerinoni,Mine,Openpit,Operating,J01700,Halls Creek North / Guerinoni,127.685957999999999,-18.184826000000001,361028,7988868,52,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4461,HALLS CREEK,SE52-10,GORDON DOWNS,"HALLS CREEK, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,"Lamboo Province, Central Zone",20230306
S0004505,Golden Delicious,Golden Delicious,Mine,Openpit,Operating,J01703,Sunrise Dam,122.459342000000007,-29.013648000000000,447346,6790382,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20230306
S0004623,Turner River M45/707,Turner River M45/707 / Hanson,Mine,Openpit,Operating,J01724,Turner River / Hanson Construction,118.518557999999999,-20.608404000000000,658244,7720452,50,Gvl Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2656,WALLARINGA,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Mallina Basin,20230306
S0004631,Vettersberg Sand Hill,Vettersberg Sand Hill,Mine,Openpit,Operating,J01727,Vettersberg Sand Hill,121.225870999999998,-30.282620999999999,329363,6648565,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20230306
S0004708,Flynn Drive/Lmst Bld Block,Flynn Drive Neerabup / Limestone Building Block,Mine,Openpit,Operating,J01743,Flynn Drive Neerabup / Limestone Bld Block,115.771202000000002,-31.687071000000000,383536,6493593,50,Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"WANNEROO, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004739,East Chapman/Kimberley Quarry,Geraldton-Mount Magnet Rd Lot 20 East Chapman / Kimberley Quarry,Mine,Openpit,Operating,J01745,Chapman Valley - Beatenally Hill,114.791922000000000,-28.690719000000001,284267,6824283,50,Agg Aggm,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1840,GERALDTON,SH50-01,GERALDTON,"GREATER GERALDTON, CITY OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,"Pinjarra Orogen, Northampton Inlier",20230306
S0004765,Merredin/Holcim,Merredin / Holcim,Mine,Openpit,Operating,J01762,Merredin / Holcim,118.302002000000002,-31.445709000000001,623720,6520267,50,Agg Gvl Aggc,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2535,MERREDIN,SH50-15,KELLERBERRIN,"MERREDIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0004771,Sandy Hill/Holcim,Sandy Hill / Holcim,Mine,Openpit,Operating,J04450,Turner River Dune Sand / Holcim,118.473894999999999,-20.450547000000000,653747,7737969,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2557,THOUIN,SF50-03,ROEBOURNE,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Sisters Supersuite,20230306
S0004775,Turner River / Boral,Turner River / Boral,Mine,Openpit,Operating,J01764,Turner River East Sand / Boral,118.479462999999996,-20.451105999999999,654327,7737902,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2557,THOUIN,SF50-03,ROEBOURNE,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Sisters Supersuite,20230306
S0004779,Tabba Tabba/Boral,Tabba Tabba / Boral,Mine,Openpit,Operating,J01415,Pilbara Area / Boral,118.992847999999995,-20.368400999999999,708005,7746491,50,Agg Aggc Brck Gran Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2657,PORT HEDLAND,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Sisters Supersuite,20230306
S0004780,Wickham Sand/RWAC,Wickham Sand / RWAC,Mine,Openpit,Operating,J01769,Wickham Sand / RWAC,117.146714000000003,-20.648719000000000,515283,7716722,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2356,ROEBOURNE,SF50-03,ROEBOURNE,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Gorge Creek Basin,20230306
S0004791,Darlot UG,Darlot Underground,Mine,Decline,Operating,J00082,Darlot,121.268897999999993,-27.887529000000001,329603,6914052,51,Au Ag,Precious metal,GOLD,Darlot,N,,Y,,Operating Mine,Public,3142,DARLOT,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20230306
S0004793,Wattleup South / Italia,Wattleup - Moylan Road Southern Extension / Italia & Cockburn,Mine,Openpit,Operating,J00848,Coogee / Cockburn,115.804174000000003,-32.181505000000001,387267,6438819,50,Lst Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"KWINANA, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004796,Maralla Rd Silica,Maralla Road Silica Sand,Mine,Openpit,Operating,J03812,Maralla Road Silica Sand,115.970415000000003,-31.738809000000000,402473,6488054,50,Sisd Sd,Industrial mineral,SILICA - SILICA SAND,Maralla,Y,"Sisd, Sd",Y,,Operating Mine,Public,2034,PERTH,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004813,Cardup/Australbricks,Cardup / Australbricks,Mine,Openpit,Operating,J01794,Cardup - Keysbrook - Toodyay / Austral Bricks,116.018406999999996,-32.240350999999997,407524,6432500,50,Shale,Construction material,CLAYS,,N,,,,,Public,2133,JARRAHDALE,SI50-02,PINJARRA,"SERPENTINE-JARRAHDALE, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Cardup Basin,20230306
S0004814,Peel Estate/Cumming,Peel Estate / Cumming,Mine,Openpit,Operating,J01795,Peel Estate / Cumming,115.910301000000004,-32.241531000000002,397340,6432271,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"SERPENTINE-JARRAHDALE, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004815,King Rd Lot 422 Oldbury,King Road Lot 422 Oldbury / CIM,Mine,Openpit,Operating,J01796,Peel Estate / Cook Industrial Minerals,115.912535000000005,-32.247055000000003,397556,6431660,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"SERPENTINE-JARRAHDALE, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004820,Walyunga Rd Lot 5/Stargaze,Walyunga Rd Lot 5 Bullsbrook / Stargaze,Mine,Openpit,Operating,J01801,Upper Swan - Walyunga / Stargaze,116.038364999999999,-31.730207000000000,408902,6489066,50,Sd Clay,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,South West Terrane,20230306
S0004836,Millar Rd Lot 2170/WA Lst,Millar Rd Lot 2170 Baldivis / WA Limestone,Mine,Openpit,Operating,J01814,Baldivis - Millar Rd / WA Limestone,115.821417999999994,-32.288511999999997,389023,6426974,50,Lst Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"ROCKINGHAM, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004837,Kerosene Lane Lot 800/WA Lmst,Kerosene Lane Lot 800 Baldivis / WA Limestone,Mine,Openpit,Operating,J01814,Baldivis - Millar Rd / WA Limestone,115.815708999999998,-32.296011999999997,388495,6426137,50,Lst Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"ROCKINGHAM, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004839,Paganoni Rd Lot 500/Hanson,Paganoni Rd Lot 500 Karnup / Hanson,Mine,Openpit,Operating,J01816,Singleton East - Paganoni Road / Hanson Constructions,115.788256000000004,-32.430787000000002,386079,6411167,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"ROCKINGHAM, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004840,Postans Rd Lot 571-572 Mathews Quarry,Postans Rd Lot 571-572 Mathews Quarry,Mine,Openpit,Operating,J02266,Postans / Stoneridge,115.806883999999997,-32.187359000000001,387530,6438173,50,Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"KWINANA, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004841,Postans Rd Hope Valley Lot 501 / Italia Stone,Postans Rd Hope Valley Lot 501 / Italia Stone,Mine,Openpit,Operating,J01512,Wattleup / WA Limestone,115.808824999999999,-32.196147000000003,387724,6437201,50,Lst Lsd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"KWINANA, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004843,Johnson Rd Wellard/ Hanson,Johnson Rd Lot 2 Wellard / Hanson,Mine,Openpit,Operating,J01819,Wellard / Hanson Construction,115.852798000000007,-32.260151000000000,391944,6430150,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"KWINANA, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0004877,Santa,Santa,Mine,Decline,Operating,J00251,Randalls - Mt Monger,122.209736000000007,-31.040614999999999,424587,6565628,51,Au Ag,Precious metal,GOLD,Santa,N,,Y,,Operating Mine,Public,3335,MOUNT BELCHES,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20230306
S0004886,Janet Ivy,Janet Ivy,Mine,Openpit,Operating,J00019,Binduli,121.383328000000006,-30.774467000000001,345291,6594275,51,Au Ag,Precious metal,GOLD,Janet Ivy,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20230306
S0004910,Nickol Bay Northwest / Karratha Earthmoving,Nickol Bay Northwest / Karratha Earthmoving,Mine,Openpit,Operating,J01549,Nickol Bay / Karratha Earthmoving,116.898696999999999,-20.726800999999998,489453,7708084,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Gorge Creek Basin,20230306
S0004924,Karratha Stone/North,Karratha Stone / North,Mine,Openpit,Operating,J01855,Karratha Stone / North,116.942828000000006,-21.071238000000001,494061,7669967,50,Sdst Dst,Construction material,DIMENSION STONE,,N,,,,,Public,2255,PINDERI HILLS,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Northwest Pilbara Sub-basin,20230306
S0004988,Vivien,Vivien,Mine,Openpit,Operating,J04242,Vivien,120.568522000000002,-27.976476000000002,260839,6903022,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20230306
S0004991,Atriedes,Atriedes - Karonie,Mine,Openpit,Operating,J00184,Aldiss - Karonie,122.559574999999995,-31.065608000000001,457983,6563043,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3435,ERAYINIA,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20230306
S0005001,Marillana Ck Central 1,Marillana Creek Central Mesa 1,Mine,Openpit,Operating,J00571,Marillana Creek - Yandi / BHPB,119.065498000000005,-22.718639000000000,712144,7486149,50,Fe,Iron,IRON ORE,,N,,,,,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20230306
S0005030,Maxwells,Maxwells,Mine,Decline,Operating,J00251,Randalls - Mt Monger,122.198931999999999,-31.081009999999999,423589,6561144,51,Au Ag,Precious metal,GOLD,Maxwells,N,,Y,,Operating Mine,Public,3335,MOUNT BELCHES,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20230306
S0005034,Sparks ,Sparks - Wickepin,Mine,Openpit,Operating,J01890,Wickepin Kaolin,117.728627000000003,-32.829597000000000,568196,6367368,50,Clay-white Kln,Industrial mineral,CLAYS,Sparks,Y,"Clay-white, Kln",Y,,Operating Mine,Public,2432,YEALERING,SI50-03,CORRIGIN,"WICKEPIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0005036,Cawse Sand-Gravel,Cawse Sand-Gravel,Mine,Openpit,Operating,J01891,Cawse / Scorpion,121.230558000000002,-30.422785999999999,330056,6633035,51,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Yilgarn Craton granites,20230306
S0005037,Carbarup/Hanson,Carbarup / Hanson,Mine,Openpit,Operating,J01892,Carbarup Aggregate / Hanson  Construction,117.692497000000003,-34.522739000000001,563557,6179664,50,Agg,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2428,MOUNT BARKER,SI50-11,MOUNT BARKER,"PLANTAGENET, SHIRE OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Biranup Zone,20230306
S0005040,Murrin North,Murrin North (PAN Production),Mine,Openpit,Operating,J00480,Murrin Murrin / Minara,121.895499999999998,-28.747169000000000,392157,6819525,51,Ni Co,Steel alloy metal,NICKEL,Murrin North,Y,"Ni, Co",Y,,Operating Mine,Public,3240,MINERIE,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20230306
S0005063,Otto Bore,Otto Bore,Mine,Openpit,Operating,J02419,Thunderbox Gold,121.015082000000007,-28.111004999999999,305016,6888909,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3141,WEEBO,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20230306
S0005074,Cockeyed Bob Deeps,Cockeyed Bob Deeps,Mine,Decline,Operating,J00251,Randalls - Mt Monger,122.176786000000007,-31.088521000000000,421482,6560296,51,Au Ag,Precious metal,GOLD,Cockeyed Bob,N,,Y,,Operating Mine,Public,3335,MOUNT BELCHES,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20230306
S0005156,King of the Hills,King of the Hills Underground,Mine,Decline,Operating,J00186,Tarmoola - King of the Hills,121.163002000000006,-28.671458999999999,320497,6827032,51,Au Ag,Precious metal,GOLD,King of the Hills,N,,Y,,Operating Mine,Public,3140,LEONORA,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20230306
S0005315,Gilbeys,Gilbeys - Dalgaranga,Mine,Openpit,Operating,J02013,Dalgaranga - Gilbeys,117.265225999999998,-27.846240999999999,526115,6919802,50,Au Ag,Precious metal,GOLD,Gilbeys,N,,Y,,Operating Mine,Public,2342,DALGARANGA,SG50-15,CUE,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Yilgarn Craton granites,20230306
S0005322,Elverdton Dumps,Elverdton Dumps,Mine,Tailings storage facility,Operating,J02016,Elverdton Dumps,120.147935000000004,-33.625027000000003,235424,6275771,51,Cu Au,Base metal,COPPER - LEAD - ZINC,Elverdton Dumps Cu-fertiliser,N,,Y,,Operating Mine,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,Youanmi Terrane,20230306
S0005340,Jenkins Rd Lot 22 / Quarry Park,Jenkins Rd Bullsbrook Lot 22 / Quarry Park,Mine,Openpit,Operating,J02022,Bullsbrook / Quarry Park,116.050903000000005,-31.606800000000000,409970,6502755,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0005344,Red Hill/Hanson,Red Hill / Hanson,Mine,Openpit,Operating,J00977,Herne Hill / Hanson Construction,116.078040000000001,-31.826823999999998,412751,6478389,50,Agg,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0005346,Quairnie Rock,Quairnie Rock,Mine,Openpit,Operating,J02025,Quairnie Rock,121.092499000000004,-31.252749999999999,318365,6540817,51,Gvl Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3135,YILMIA,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Yilgarn Craton granites,20230306
S0005365,Bungarra,Bungarra,Mine,Openpit,Operating,J01639,North Laverton Gold,121.466838999999993,-27.400148000000002,348419,6968310,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3143,WANGGANNOO,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20230306
S0005371,Enterprise UG,Enterprise Underground,Mine,Decline,Operating,J04664,Ora Banda / Norton,121.088646999999995,-30.372078999999999,316329,6638435,51,Au,Precious metal,GOLD,,N,,,,,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20230306
S0005388,Cutters Ridge Main,Cutters Ridge Main,Mine,Openpit,Operating,J04814,Mungari / Evolution,121.182302000000007,-30.771702000000001,326045,6594286,51,Au Ag,Precious metal,GOLD,Cutters Ridge,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20230306
S0005396,Broome Road South Sand/McCorryBrown,Broome Road South Sand / McCorryBrown,Mine,Openpit,Operating,J01131,Roebuck Plains / McCorry Brown,122.357754999999997,-17.885807000000000,431965,8022331,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3362,BROOME,SE51-06,BROOME,"BROOME, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Jurgurra Terrace,20230306
S0005401,Chittering S/Patterson,Chittering South - Gt Eastern Hwy / Patterson,Mine,Openpit,Operating,J02038,Chittering South / Patterson,116.054100000000005,-31.452480000000001,410125,6519863,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2135,CHITTERING,SH50-14,PERTH,"CHITTERING, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0005408,Broome 70 Kilometre,Broome - Seventy Kilometre,Mine,Openpit,Operating,J02363,Collins Lagoon,122.842865000000003,-17.776890000000002,483344,8034491,51,Brck Gvl Sdc Lst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3462,LAKE EDA,SE51-06,BROOME,"BROOME, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Fitzroy Trough,20230306
S0005409,Millar Rd/Boral,Baldivis - Millar Rd / Boral,Mine,Openpit,Operating,J02046,Baldivis - Millar Rd / Boral,115.828050000000005,-32.283636999999999,389642,6427522,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"ROCKINGHAM, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0005410,Wesco Rd (Sublease 1) / Meteor Stone,Wesco Rd - Nowergup (Sublease 1) / Meteor Stone,Mine,Openpit,Operating,J01694,Wesco Rd - Nowergup / Meteor Stone,115.761664999999994,-31.645368999999999,382581,6498206,50,Dst Lst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2034,PERTH,SH50-14,PERTH,"WANNEROO, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0005435,Merivale - Mt Edward,Merivale - Mt Edward,Mine,Openpit,Operating,J02052,Merivale - Esperance Granite,122.031700000000001,-33.796650000000000,410365,6259969,51,Dst Gran,Construction material,DIMENSION STONE,,N,,,,,Public,3330,MERIVALE,SI51-06,ESPERANCE,"ESPERANCE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Scaddan Embayment,20230306
S0005451,Bullsbrook South Stage 1 / Midland Brick,Bullsbrook South Stage 1 - Parkes / Midland Brick,Mine,Openpit,Operating,J00879,Bullsbrook / Midland Brick,116.049003999999996,-31.690611000000001,409871,6493464,50,Cybk,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,South West Terrane,20230306
S0005456,Morangup Rd Lot 3 Squarchini Pit / Midland Brick,Morangup Rd Lot 3 Squarchini Pit / Midland Brick,Mine,Openpit,Operating,J02057,Toodyay / Midland Brick,116.340974000000003,-31.598070000000000,437480,6503925,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"TOODYAY, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0005458,Salt Valley Rd Lot 1 / Opal Vale Land Fill,Salt Valley Road Lot 1 Hoddys Well / Opal Vale Land Fill,Mine,Openpit,Operating,J06255,Toodyay Landfill / Opal Vale,116.432678999999993,-31.648171999999999,446209,6498420,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"TOODYAY, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0005463,Chitty Rd Lot 11 / Austral Bricks,Chitty Rd Lot 11 Hoddys Well / Austral Bricks,Mine,Openpit,Operating,J01794,Cardup - Keysbrook - Toodyay / Austral Bricks,116.468052000000000,-31.669136999999999,449574,6496114,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"TOODYAY, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0005464,Chitty Rd-Maslens,Chitty Rd - Maslens / Australbricks,Mine,Openpit,Operating,J01794,Cardup - Keysbrook - Toodyay / Austral Bricks,116.458504000000005,-31.681000000000001,448676,6494794,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"NORTHAM, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0005467,Apple St-Almeria Pde Lot 23 and 51/Australbricks,Apple St-Almeria Pde Upper Swan Lot 23 and 51 / Australbricks,Mine,Openpit,Operating,J02059,Muchea - Upper Swan / Austral Bricks,116.028575000000004,-31.761495000000000,408005,6485590,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0005468,Lees Pit Great Northern Hwy Lot 201 / Austral Bricks,Lees Pit Lot 201 (1528) Great Northern Hwy / Austral Bricks,Mine,Openpit,Operating,J02059,Muchea - Upper Swan / Austral Bricks,116.039005000000003,-31.759668999999999,408991,6485801,50,Cyfi,Construction material,CLAYS,,N,,,,,Public,2134,WOOROLOO,SH50-14,PERTH,"SWAN, CITY OF",METRO,70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
