SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0230816,Albany Limestone/MRWA,Albany Limestone / Main Roads,Mine,Openpit,Operating,J04575,Albany Gravel / Main Roads,117.814038999999994,-35.042990000000003,574244,6121887,50,Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20230306
S0230824,Princess Ave Lot 302,Princess Ave Lot 302,Mine,Openpit,Operating,J03143,Albany Construction Materials / AD Contractors,117.827976000000007,-35.051397000000001,575508,6120944,50,Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20230306
S0230893,Brealey - Hose North/GMA,Brealey - Hose North/GMA,Mine,Openpit,Operating,J00788,Port Gregory Garnet/GMA,114.202096999999995,-28.077275000000000,225038,6891076,50,Grt Ilm Zrn,Industrial mineral,HEAVY MINERAL SANDS,,N,,,,,Public,1741,HUTT,SH50-01,GERALDTON,"NORTHAMPTON, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Gascoyne Platform,20230306
S0230898,Gruyere,Gruyere,Mine,Openpit,Operating,J04673,Yamarna - Gruyere JV,123.845213000000001,-27.984430000000000,583117,6904235,51,Au Ag,Precious metal,GOLD,Gruyere,N,,Y,,Operating Mine,Public,3642,YAMARNA,SG51-15,THROSSELL,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Yamarna Terrane,20230306
S0230899,Stanley Rd Lot 42/Catalano,Stanley Rd Lot 42 Wellesley / Catalano,Mine,Openpit,Operating,J03290,Harvey-Bunbury / Catalano,115.747932000000006,-33.242455999999997,383354,6321135,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20230306
S0230900,Douglas Rd Lot 31/ WCR,Douglas Rd Beeramullah Lot 31  / WCR,Mine,Openpit,Operating,J04826,Gingin /  WCR,115.759799000000001,-31.144590999999998,381778,6553712,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Beermullah Trough,20230306
S0230908,Bornholm South Rd Lot 1955 Bornholm,Bornholm South Road Lot 1955 Bornholm,Mine,Openpit,Operating,J04521,Bornholm Lime / Wolfe,117.564886000000001,-35.060433000000003,551509,6120109,50,Aglime Lst Lsd,Industrial mineral,LIMESTONE - LIMESAND,Bornholm,Y,"Aglime, Lst, Lsd",Y,,Operating Mine,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Nornalup Zone,20230306
S0230920,Shepherds Lagoon Rd Lot 250/Ayres,Shepherds Lagoon Rd Lot 250 Bornholm  / Ayres,Mine,Openpit,Operating,J04565,Bornholm Lime / Ayres,117.583956000000001,-35.066415999999997,553244,6119436,50,Lst,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Nornalup Zone,20230306
S0230961,Lynton North/GMA,Lynton North - Port Gregory/GMA,Mine,Openpit,Operating,J00788,Port Gregory Garnet/GMA,114.256248999999997,-28.146629000000001,230536,6883510,50,Grt Ilm Zrn,Industrial mineral,HEAVY MINERAL SANDS,Lynton,Y,"Grt, Ilm, Zrn",Y,,Operating Mine,Public,1741,HUTT,SH50-01,GERALDTON,"NORTHAMPTON, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Gascoyne Platform,20230306
S0231031,Runway North,Runway North,Mine,Openpit,Operating,J03673,Sanjiv Ridge,119.679253000000003,-21.420504000000001,777739,7628940,50,Fe,Iron,IRON ORE,,N,,,,,Public,2855,MARBLE BAR,SF50-08,MARBLE BAR,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Gorge Creek Basin,20230306
